Gene	ForwardPositions	BackwardPositions
IGHV7-4-1*02	[]	[]
IGHV7-4-1*03	[]	[]
IGHV7-4-1*04	[]	[]
IGHV7-4-1*05	[]	[]
IGHV(II)-1-1*01	[938327]	[]
IGHV(II)-15-1*01	[719914]	[]
IGHV(II)-22-1*01	[620090]	[]
IGHV(II)-22-1*02	[]	[]
IGHV(II)-22-1D*01	[620090]	[]
IGHV(II)-26-2*01	[568769]	[]
IGHV(II)-28-1*01	[]	[]
IGHV(II)-28-1*02	[]	[]
IGHV(II)-28-1*03	[554004]	[]
IGHV(II)-30-1*01	[]	[]
IGHV(II)-30-1*02	[540738]	[]
IGHV(II)-30-21*01	[528972]	[]
IGHV(II)-30-32*01	[]	[]
IGHV(II)-30-41*01	[]	[]
IGHV(II)-30-51*01	[]	[]
IGHV(II)-30-51*02	[]	[]
IGHV(II)-31-1*01	[]	[]
IGHV(II)-33-1*01	[516027]	[]
IGHV(II)-40-1*01	[442708]	[]
IGHV(II)-43-1*01	[]	[]
IGHV(II)-43-1D*01	[]	[]
IGHV(II)-44-2*01	[389337]	[]
IGHV(II)-46-1*01	[367736]	[]
IGHV(II)-49-1*01	[319091]	[]
IGHV(II)-51-2*01	[298715]	[]
IGHV(II)-53-1*01	[]	[]
IGHV(II)-60-1*01	[245745]	[]
IGHV(II)-62-1*01	[]	[]
IGHV(II)-65-1*01	[211645]	[]
IGHV(II)-67-1*01	[197187]	[]
IGHV(II)-74-1*01	[62319]	[]
IGHV(II)-78-1*01	[]	[]
IGHV(III)-11-1*01	[763245]	[]
IGHV(III)-13-1*01	[]	[]
IGHV(III)-16-1*01	[]	[]
IGHV(III)-2-1*01	[]	[]
IGHV(III)-22-2*01	[318021, 619003]	[]
IGHV(III)-22-2D*01	[318021, 619003]	[]
IGHV(III)-25-1*01	[]	[]
IGHV(III)-25-1*02	[589922]	[]
IGHV(III)-26-1*01	[]	[]
IGHV(III)-26-1*02	[574017]	[]
IGHV(III)-38-1*01	[465419]	[]
IGHV(III)-38-1*02	[]	[]
IGHV(III)-38-1D*01	[]	[]
IGHV(III)-44*01	[405481, 486760]	[]
IGHV(III)-44D*01	[405481, 486760]	[]
IGHV(III)-47-1*01	[352293]	[]
IGHV(III)-5-1*01	[843954]	[]
IGHV(III)-5-2*01	[837858]	[]
IGHV(III)-51-1*01	[]	[]
IGHV(III)-67-2*01	[196518]	[]
IGHV(III)-67-3*01	[190830]	[]
IGHV(III)-67-4*01	[188332]	[]
IGHV(III)-76-1*01	[51649]	[]
IGHV(III)-82*01	[3874]	[]
IGHV(IV)-44-1*01	[]	[]
IGHV1-12*01	[]	[]
IGHV1-12*02	[761151]	[]
IGHV1-14*01	[]	[]
IGHV1-17*01	[]	[]
IGHV1-17*02	[709082]	[]
IGHV1-38-4*01	[]	[]
IGHV1-67*01	[202816]	[]
IGHV1-67*02	[]	[]
IGHV1-68*01	[179577]	[]
IGHV1-NL1*01	[]	[]
IGHV1/OR15-1*01	[]	[]
IGHV1/OR15-1*02	[]	[]
IGHV1/OR15-1*03	[]	[]
IGHV1/OR15-1*04	[]	[]
IGHV1/OR15-2*01	[]	[]
IGHV1/OR15-2*02	[]	[]
IGHV1/OR15-2*03	[]	[]
IGHV1/OR15-3*01	[]	[]
IGHV1/OR15-3*02	[]	[]
IGHV1/OR15-3*03	[]	[]
IGHV1/OR15-4*01	[]	[]
IGHV1/OR15-5*01	[]	[]
IGHV1/OR15-5*02	[]	[]
IGHV1/OR15-6*01	[]	[]
IGHV1/OR15-6*02	[]	[]
IGHV1/OR15-9*01	[]	[]
IGHV1/OR16-1*01	[]	[]
IGHV1/OR16-2*01	[]	[]
IGHV1/OR16-3*01	[]	[]
IGHV1/OR16-4*01	[]	[]
IGHV1/OR16-4*02	[]	[]
IGHV1/OR21-1*01	[]	[]
IGHV2-10*01	[]	[]
IGHV2-70*09	[]	[]
IGHV2/OR16-5*01	[]	[]
IGHV3-11*02	[]	[]
IGHV3-16*01	[]	[]
IGHV3-16*02	[718220]	[]
IGHV3-19*01	[686725]	[]
IGHV3-20*02	[672487]	[]
IGHV3-22*01	[]	[]
IGHV3-22*02	[625655]	[]
IGHV3-25*01	[]	[]
IGHV3-25*02	[]	[]
IGHV3-25*03	[594397]	[]
IGHV3-25*04	[]	[]
IGHV3-25*05	[]	[]
IGHV3-29*01	[552315]	[]
IGHV3-30-2*01	[539036]	[]
IGHV3-30-22*01	[]	[]
IGHV3-30-33*01	[]	[]
IGHV3-30-42*01	[552315]	[]
IGHV3-30-52*01	[539036]	[]
IGHV3-32*01	[527276]	[]
IGHV3-33-2*01	[514323]	[]
IGHV3-35*01	[494033]	[]
IGHV3-36*01	[]	[]
IGHV3-36*02	[490649]	[]
IGHV3-36*03	[]	[]
IGHV3-37*01	[]	[]
IGHV3-37*02	[486760]	[]
IGHV3-38*01	[]	[]
IGHV3-38*02	[472935]	[]
IGHV3-38*03	[]	[]
IGHV3-38-3*01	[]	[]
IGHV3-41*01	[]	[]
IGHV3-42*01	[]	[]
IGHV3-42*02	[]	[]
IGHV3-42*03	[420162]	[]
IGHV3-42D*01	[]	[]
IGHV3-47*01	[364847]	[]
IGHV3-47*02	[]	[]
IGHV3-47*03	[]	[]
IGHV3-50*01	[317322]	[]
IGHV3-52*01	[297047]	[]
IGHV3-52*02	[]	[]
IGHV3-52*03	[]	[]
IGHV3-54*01	[]	[]
IGHV3-54*02	[]	[]
IGHV3-54*03	[282130]	[]
IGHV3-54*04	[]	[]
IGHV3-57*01	[]	[]
IGHV3-57*02	[264504]	[]
IGHV3-6*01	[]	[]
IGHV3-60*01	[]	[]
IGHV3-62*01	[]	[]
IGHV3-62*02	[]	[]
IGHV3-63*01	[]	[]
IGHV3-63*02	[231198]	[]
IGHV3-65*01	[]	[]
IGHV3-65*02	[217369]	[]
IGHV3-65*03	[]	[]
IGHV3-69-1*01	[155263]	[]
IGHV3-69-1*02	[]	[]
IGHV3-71*01	[108260]	[]
IGHV3-71*02	[]	[]
IGHV3-71*03	[]	[]
IGHV3-75*01	[59745]	[]
IGHV3-76*01	[55566]	[]
IGHV3-76*02	[]	[]
IGHV3-79*01	[]	[]
IGHV3/OR15-7*01	[]	[]
IGHV3/OR15-7*02	[]	[]
IGHV3/OR15-7*03	[]	[]
IGHV3/OR15-7*04	[]	[]
IGHV3/OR15-7*05	[]	[]
IGHV3/OR16-10*01	[]	[]
IGHV3/OR16-10*02	[]	[]
IGHV3/OR16-10*03	[]	[]
IGHV3/OR16-11*01	[]	[]
IGHV3/OR16-12*01	[]	[]
IGHV3/OR16-13*01	[]	[]
IGHV3/OR16-14*01	[]	[]
IGHV3/OR16-15*01	[]	[]
IGHV3/OR16-15*02	[]	[]
IGHV3/OR16-16*01	[]	[]
IGHV3/OR16-6*01	[]	[]
IGHV3/OR16-6*02	[]	[]
IGHV3/OR16-7*01	[]	[]
IGHV3/OR16-7*02	[]	[]
IGHV3/OR16-7*03	[]	[]
IGHV3/OR16-8*01	[]	[]
IGHV3/OR16-8*02	[]	[]
IGHV3/OR16-9*01	[]	[]
IGHV4-55*01	[277307]	[]
IGHV4-55*02	[]	[]
IGHV4-55*03	[]	[]
IGHV4-55*04	[]	[]
IGHV4-55*05	[]	[]
IGHV4-55*06	[]	[]
IGHV4-55*07	[]	[]
IGHV4-55*08	[]	[]
IGHV4-55*09	[]	[]
IGHV4-61*06	[]	[]
IGHV4-80*01	[]	[]
IGHV4/OR15-8*01	[]	[]
IGHV4/OR15-8*02	[]	[]
IGHV4/OR15-8*03	[]	[]
IGHV5-78*01	[32312]	[]
IGHV5-78*02	[]	[]
IGHV7-27*01	[565623]	[]
IGHV7-34-1*01	[506126]	[]
IGHV7-34-1*02	[]	[]
IGHV7-40*01	[]	[]
IGHV7-40*03	[458064]	[]
IGHV7-40*04	[]	[]
IGHV7-40D*01	[]	[]
IGHV7-56*01	[]	[]
IGHV7-56*02	[273663]	[]
IGHV7-81*01	[8842]	[]
IGHV7-NL1*01	[]	[]
IGHV7-NL1*02	[]	[]
IGHV7-NL1*03	[]	[]
IGHV7-NL1*04	[]	[]
IGHV7-NL1*05	[]	[]
